,Phone Name,RAM,ROM,Back Camera,Front_Camera,Battery,Processor,Price
0,"POCO C50 (Royal Blue, 32 GB)",2,32,8,5,5000 mAh,"Mediatek Helio A22 Processor, Upto 2.0 GHz Processor","₹5,649"
1,"POCO M4 5G (Cool Blue, 64 GB)",4,64,50,8,5000 mAh,Mediatek Dimensity 700 Processor,"₹11,999"
2,"POCO C51 (Royal Blue, 64 GB)",4,64,8,5,5000 mAh,Helio G36 Processor,"₹6,999"
3,"POCO C55 (Cool Blue, 64 GB)",4,64,50,5,5000 mAh,Mediatek Helio G85 Processor,"₹7,749"
4,"POCO C51 (Power Black, 64 GB)",4,64,8,5,5000 mAh,Helio G36 Processor,"₹6,999"
5,"POCO M4 5G (Power Black, 64 GB)",4,64,50,8,5000 mAh,Mediatek Dimensity 700 Processor,"₹11,999"
6,"POCO C55 (Power Black, 64 GB)",4,64,50,5,5000 mAh,Mediatek Helio G85 Processor,"₹7,749"
7,"POCO C55 (Forest Green, 64 GB)",4,64,50,5,5000 mAh,Mediatek Helio G85 Processor,"₹7,749"
8,"POCO C55 (Cool Blue, 128 GB)",6,128,50,5,5000 mAh,Mediatek Helio G85 Processor,"₹9,249"
9,"POCO M4 5G (Yellow, 128 GB)",6,128,50,8,5000 mAh,Mediatek Dimensity 700 Processor,"₹13,999"
10,"POCO C50 (Country Green, 32 GB)",2,32,8,5,5000 mAh,"Mediatek Helio A22 Processor, Upto 2.0 GHz Processor","₹5,649"
11,"POCO C55 (Power Black, 128 GB)",6,128,50,5,5000 mAh,Mediatek Helio G85 Processor,"₹9,249"
12,"POCO M5 (Power Black, 64 GB)",4,64,50,8,5000 mAh,Mediatek Helio G99 Processor,"₹8,999"
13,"POCO M5 (Icy Blue, 64 GB)",4,64,50,8,5000 mAh,Mediatek Helio G99 Processor,"₹8,999"
14,"POCO M4 5G (Yellow, 64 GB)",4,64,50,8,5000 mAh,Mediatek Dimensity 700 Processor,"₹11,999"
15,"POCO C55 (Forest Green, 128 GB)",6,128,50,5,5000 mAh,Mediatek Helio G85 Processor,"₹9,249"
16,"POCO M4 5G (Power Black, 128 GB)",6,128,50,8,5000 mAh,Mediatek Dimensity 700 Processor,"₹13,999"
17,"POCO C50 (Royal Blue, 32 GB)",3,32,8,5,5000 mAh,"Mediatek Helio A22 Processor, Upto 2.0 GHz Processor","₹6,499"
18,"POCO M5 (Yellow, 64 GB)",4,64,50,8,5000 mAh,Mediatek Helio G99 Processor,"₹8,999"
19,"POCO M4 Pro (Yellow, 128 GB)",8,128,64,16,5000 mAh,Mediatek Helio G96 Processor,"₹13,999"
20,"POCO C50 (Country Green, 32 GB)",3,32,8,5,5000 mAh,"Mediatek Helio A22 Processor, Upto 2.0 GHz Processor","₹6,499"
21,"POCO X5 5G (Jaguar Black, 128 GB)",6,128,48,13,5000 mAh,Qualcomm Snapdragon 695 Processor,"₹15,999"
22,"POCO X5 5G (Wildcat Blue, 128 GB)",6,128,48,13,5000 mAh,Qualcomm Snapdragon 695 Processor,"₹15,999"
23,"POCO M4 Pro 5G (Yellow, 128 GB)",8,128,50,16,5000 mAh,Mediatek Dimensity 810 Processor,"₹15,999"
24,"POCO M5 (Power Black, 128 GB)",6,128,50,8,5000 mAh,Mediatek Helio G99 Processor,"₹10,999"
25,"POCO M5 (Yellow, 128 GB)",6,128,50,8,5000 mAh,Mediatek Helio G99 Processor,"₹10,999"
26,"POCO X5 5G (Supernova Green, 128 GB)",6,128,48,13,5000 mAh,Qualcomm Snapdragon 695 Processor,"₹15,999"
27,"POCO M5 (Icy Blue, 128 GB)",6,128,50,8,5000 mAh,Mediatek Helio G99 Processor,"₹10,999"
28,"POCO M4 Pro (Cool Blue, 128 GB)",8,128,64,16,5000 mAh,Mediatek Helio G96 Processor,"₹13,999"
29,"POCO X5 Pro 5G (Horizon Blue, 256 GB)",8,256,108,16,5000 mAh,Qualcomm Snapdragon 778G Processor,"₹23,999"
30,"POCO X5 5G (Jaguar Black, 256 GB)",8,256,48,13,5000 mAh,Qualcomm Snapdragon 695 Processor,"₹17,999"
31,"POCO X5 Pro 5G (Astral Black, 256 GB)",8,256,108,16,5000 mAh,Qualcomm Snapdragon 778G Processor,"₹23,999"
32,"POCO X5 5G (Wildcat Blue, 256 GB)",8,256,48,13,5000 mAh,Qualcomm Snapdragon 695 Processor,"₹17,999"
33,"POCO M3 Pro 5G (Yellow, 128 GB)",6,128,48,8,5000 mAh,MediaTek Dimensity 700 Processor,"₹14,499"
34,"POCO M4 5G (Cool Blue, 128 GB)",6,128,50,8,5000 mAh,Mediatek Dimensity 700 Processor,"₹13,999"
35,"POCO X4 Pro 5G (Yellow, 128 GB)",6,128,64,16,5000 mAh,Qualcomm Snapdragon 695 5G Processor,"₹17,499"
36,"POCO X5 Pro 5G (Yellow, 256 GB)",8,256,108,16,5000 mAh,Qualcomm Snapdragon 778G Processor,"₹23,999"
37,"POCO X5 Pro 5G (Horizon Blue, 128 GB)",6,128,108,16,5000 mAh,Qualcomm Snapdragon 778G Processor,"₹21,999"
38,"POCO X5 Pro 5G (Yellow, 128 GB)",6,128,108,16,5000 mAh,Qualcomm Snapdragon 778G Processor,"₹21,999"
39,"POCO X5 Pro 5G (Astral Black, 128 GB)",6,128,108,16,5000 mAh,Qualcomm Snapdragon 778G Processor,"₹21,999"
40,"POCO F5 5G (Snowstorm White, 256 GB)",8,256,64,16,5000 mAh,Qualcomm Snapdragon 7+ Gen 2 (4nm) Processor,"₹29,999"
41,"POCO X4 Pro 5G (Yellow, 64 GB)",6,64,64,16,5000 mAh,Qualcomm Snapdragon 695 5G Processor,"₹16,499"
42,"POCO X5 5G (Supernova Green, 256 GB)",8,256,48,13,5000 mAh,Qualcomm Snapdragon 695 Processor,"₹17,999"
43,"POCO F5 5G (Carbon Black, 256 GB)",8,256,64,16,5000 mAh,Qualcomm Snapdragon 7+ Gen 2 (4nm) Processor,"₹29,999"
44,"POCO F5 5G (Electric Blue, 256 GB)",8,256,64,16,5000 mAh,Qualcomm Snapdragon 7+ Gen 2 (4nm) Processor,"₹29,999"
45,"POCO C31 (Shadow Gray, 64 GB)",4,64,13,5,5000 mAh,MediaTek Helio G35 Processor,"₹8,999"
46,"POCO F5 5G (Snowstorm White, 256 GB)",12,256,64,16,5000 mAh,Qualcomm Snapdragon 7+ Gen 2 (4nm) Processor,"₹32,999"
47,"POCO X4 Pro 5G (Laser Blue, 128 GB)",8,128,64,16,5000 mAh,Qualcomm Snapdragon 695 5G Processor,"₹19,499"
48,"POCO M4 Pro 5G (Yellow, 64 GB)",4,64,50,16,5000 mAh,Mediatek Dimensity 810 Processor,"₹14,999"
49,"POCO F5 5G (Electric Blue, 256 GB)",12,256,64,16,5000 mAh,Qualcomm Snapdragon 7+ Gen 2 (4nm) Processor,"₹32,999"
50,"POCO C31 (Shadow Gray, 64 GB)",4,64,13,5,5000 mAh,MediaTek Helio G35 Processor,"₹8,999"
51,"POCO F5 5G (Carbon Black, 256 GB)",12,256,64,16,5000 mAh,Qualcomm Snapdragon 7+ Gen 2 (4nm) Processor,"₹32,999"
52,"POCO C31 (Shadow Gray, 32 GB)",3,32,13,5,5000 mAh,MediaTek Helio G35 Processor,"₹8,499"
53,"POCO X2 (Atlantis Blue, 64 GB)",6,64,64,20,4500 mAh,Qualcomm Snapdragon 730G Processor,"₹17,999"
54,"POCO M4 Pro 5G (Yellow, 128 GB)",6,128,50,16,5000 mAh,Mediatek Dimensity 810 Processor,"₹16,999"
55,"POCO C31 (Royal Blue, 64 GB)",4,64,13,5,5000 mAh,MediaTek G35 Processor,"₹8,999"
56,"POCO X4 Pro 5G (Yellow, 128 GB)",8,128,64,16,5000 mAh,Qualcomm Snapdragon 695 5G Processor,"₹19,499"
57,"POCO C31 (Royal Blue, 32 GB)",3,32,13,5,5000 mAh,MediaTek Helio G35 Processor,"₹8,499"
58,"POCO M4 Pro (Yellow, 128 GB)",6,128,64,16,5000 mAh,Mediatek Helio G96 Processor,"₹16,499"
59,"POCO X2 (Phoenix Red, 256 GB)",8,256,64,20,4500 mAh,Qualcomm Snapdragon 730G Processor,"₹20,999"
60,"POCO X2 (Matrix Purple, 256 GB)",8,256,64,20,4500 mAh,Qualcomm Snapdragon 730G Processor,"₹20,999"
61,"POCO F1 (Steel Blue, 64 GB)",6,64,12,20,4000 mAh,Qualcomm Snapdragon 845 Processor,"₹13,689"
62,"POCO F4 5G (Night Black, 128 GB)",8,128,64,20,4500 mAh,Qualcomm Snapdragon 870 Processor,"₹27,999"
63,"POCO F1 (Graphite Black, 128 GB)",6,128,12,20,4000 mAh,Qualcomm Snapdragon 845 Processor,"₹24,999"
64,"POCO M4 Pro (Yellow, 64 GB)",6,64,64,16,5000 mAh,Mediatek Helio G96 Processor,"₹14,999"
65,"POCO C3 (Matte Black, 32 GB)",3,32,13,5,5000 mAh,Mediatek Helio G35 Processor,"₹9,999"
66,"POCO X4 Pro 5G (Laser Blue, 64 GB)",6,64,64,16,5000 mAh,Qualcomm Snapdragon 695 5G Processor,"₹16,499"
67,"POCO M2 Reloaded (Mostly Blue, 64 GB)",4,64,13,8,5000 mAh,MediaTek Helio G80 Processor,"₹11,990"
68,"POCO M2 Pro (Green and Greener, 64 GB)",6,64,48,16,5000 mAh,Qualcomm Snapdragon 720G Processor,"₹17,999"
69,"POCO M2 Pro (Out of the Blue, 128 GB)",6,128,48,16,5000 mAh,Qualcomm Snapdragon 720G Processor,"₹19,999"
70,"POCO C3 (Arctic Blue, 32 GB)",3,32,13,5,5000 mAh,Mediatek Helio G35 Processor,"₹9,999"
71,"POCO X2 (Phoenix Red, 64 GB)",6,64,64,20,4500 mAh,Qualcomm Snapdragon 730G Processor,"₹15,490"
72,"POCO X4 Pro 5G (Laser Black, 128 GB)",6,128,64,16,5000 mAh,Qualcomm Snapdragon 695 5G Processor,"₹17,499"
73,"POCO F4 5G (Night Black, 256 GB)",12,256,64,20,4500 mAh,Qualcomm Snapdragon 870 Processor,"₹39,999"
74,"POCO X3 Pro (Graphite Black, 128 GB)",6,128,48,20,5160 mAh,Qualcomm Snapdragon 860 Processor,"₹23,999"
75,"POCO F4 5G (Night Black, 128 GB)",6,128,64,20,4500 mAh,Qualcomm Snapdragon 870 Processor,"₹27,999"
76,"POCO X4 Pro 5G (Laser Blue, 128 GB)",6,128,64,16,5000 mAh,Qualcomm Snapdragon 695 5G Processor,"₹17,499"
77,"POCO M2 Pro (Out of the Blue, 64 GB)",4,64,48,16,5000 mAh,Qualcomm Snapdragon 720G Processor,"₹16,999"
78,"POCO F1 (Rosso Red, 64 GB)",6,64,12,20,4000 mAh,Qualcomm Snapdragon 845 Processor,"₹21,999"
79,"POCO M2 Pro (Two Shades of Black, 64 GB)",6,64,48,16,5000 mAh,Qualcomm Snapdragon 720G Processor,"₹17,999"
80,"POCO M2 Pro (Two Shades of Black, 128 GB)",6,128,48,16,5000 mAh,Qualcomm Snapdragon 720G Processor,"₹19,999"
81,"POCO X2 (Atlantis Blue, 256 GB)",8,256,64,20,4500 mAh,Qualcomm Snapdragon 730G Processor,"₹20,999"
82,"POCO M2 Pro (Green and Greener, 64 GB)",4,64,48,16,5000 mAh,Qualcomm Snapdragon 720G Processor,"₹16,999"
83,"POCO F4 5G (Nebula Green, 128 GB)",6,128,64,20,4500 mAh,Qualcomm Snapdragon 870 Processor,"₹27,999"
84,"POCO M3 (Cool Blue, 128 GB)",6,128,48,8,6000 mAh,Qualcomm Snapdragon 662 Processor,"₹14,999"
85,"POCO X3 Pro (Steel Blue, 128 GB)",6,128,48,20,5160 mAh,Qualcomm Snapdragon 860 Processor,"₹23,999"
86,"POCO M3 Pro 5G (Yellow, 64 GB)",4,64,48,8,5000 mAh,MediaTek Dimensity 700 Processor,"₹15,999"
87,"POCO C3 (Lime Green, 32 GB)",3,32,13,5,5000 mAh,Mediatek Helio G35 Processor,"₹9,999"
88,"POCO X3 (Cobalt Blue, 64 GB)",6,64,64,20,6000 mAh,Qualcomm Snapdragon 732G Processor,"₹19,999"
89,"POCO X2 (Matrix Purple, 64 GB)",6,64,64,20,4500 mAh,Qualcomm Snapdragon 730G Processor,"₹17,999"
90,"POCO F3 GT 5G (Gunmetal Silver, 128 GB)",6,128,64,16,5065 mAh,MediaTek Dimensity 1200 Processor,"₹32,999"
91,"POCO X2 (Atlantis Blue, 128 GB)",6,128,64,20,4500 mAh,Qualcomm Snapdragon 730G Processor,"₹18,999"
92,"POCO F1 (Graphite Black, 64 GB)",6,64,12,20,4000 mAh,Qualcomm Snapdragon 845 Processor,"₹21,999"
93,"POCO M3 (Cool Blue, 64 GB)",4,64,48,8,6000 mAh,Qualcomm Snapdragon 662 Processor,"₹11,999"
94,"POCO M3 (Yellow, 64 GB)",4,64,48,8,6000 mAh,Qualcomm Snapdragon 662 Processor,"₹11,999"
95,"POCO M2 (Slate Blue, 64 GB)",6,64,13,8,5000 mAh,MediaTek Helio G80 Processor,"₹12,999"
96,"POCO M3 (Yellow, 64 GB)",4,64,48,8,6000 mAh,Qualcomm Snapdragon 662 Processor,"₹11,999"
97,"POCO M2 (Slate Blue, 64 GB)",6,64,13,8,5000 mAh,MediaTek Helio G80 Processor,"₹12,999"
98,"POCO M2 Reloaded (Greyish Black, 64 GB)",4,64,13,8,5000 mAh,MediaTek Helio G80 Processor,"₹11,999"
99,"POCO X3 Pro (Golden Bronze, 128 GB)",6,128,48,20,5160 mAh,Qualcomm Snapdragon 860 Processor,"₹23,999"
100,"POCO M3 (Cool Blue, 64 GB)",4,64,48,8,6000 mAh,Qualcomm Snapdragon 662 Processor,"₹10,999"
101,"POCO X4 Pro 5G (Laser Black, 64 GB)",6,64,64,16,5000 mAh,Qualcomm Snapdragon 695 5G Processor,"₹16,499"
102,"POCO M3 (Cool Blue, 64 GB)",6,64,48,8,6000 mAh,Qualcomm Snapdragon 662 Processor,"₹12,990"
103,"POCO M2 Pro (Green and Greener, 128 GB)",6,128,48,16,5000 mAh,Qualcomm Snapdragon 720G Processor,"₹19,999"
104,"POCO M2 Pro (Out of the Blue, 64 GB)",6,64,48,16,5000 mAh,Qualcomm Snapdragon 720G Processor,"₹17,999"
105,"POCO M3 (Power Black, 64 GB)",6,64,48,8,6000 mAh,Qualcomm Snapdragon 662 Processor,"₹12,999"
106,"POCO X2 (Matrix Purple, 128 GB)",6,128,64,20,4500 mAh,Qualcomm Snapdragon 730G Processor,"₹18,999"
107,"POCO F3 GT 5G (Predator Black, 128 GB)",6,128,64,16,5065 mAh,MediaTek Dimensity 1200 Processor,"₹32,999"
108,"POCO X3 Pro (Golden Bronze, 128 GB)",8,128,48,20,5160 mAh,Qualcomm Snapdragon 860 Processor,"₹25,999"
109,"POCO M3 (Yellow, 64 GB)",6,64,48,8,6000 mAh,Qualcomm Snapdragon 662 Processor,"₹12,999"
110,"POCO M2 (Pitch Black, 64 GB)",6,64,13,8,5000 mAh,MediaTek Helio G80 Processor,"₹12,999"
111,"POCO M2 (Slate Blue, 128 GB)",6,128,13,8,5000 mAh,MediaTek Helio G80 Processor,"₹14,999"
112,"POCO F4 5G (Nebula Green, 128 GB)",8,128,64,20,4500 mAh,Qualcomm Snapdragon 870 Processor,"₹27,999"
113,"POCO X3 (Shadow Gray, 64 GB)",6,64,64,20,6000 mAh,Qualcomm Snapdragon 732G Processor,"₹19,999"
114,"POCO F4 5G (Nebula Green, 256 GB)",12,256,64,20,4500 mAh,Qualcomm Snapdragon 870 Processor,"₹39,999"
115,"POCO X3 (Shadow Gray, 128 GB)",6,128,64,20,6000 mAh,Qualcomm Snapdragon 732G Processor,"₹20,999"
116,"POCO M3 Pro 5G (Power Black, 128 GB)",6,128,48,8,5000 mAh,MediaTek Dimensity 700 Processor,"₹17,999"
117,"POCO F3 GT 5G (Predator Black, 256 GB)",8,256,64,16,5065 mAh,MediaTek Dimensity 1200 Processor,"₹36,999"
118,"POCO X3 (Cobalt Blue, 128 GB)",6,128,64,20,6000 mAh,Qualcomm Snapdragon 732G Processor,"₹20,999"
119,"POCO F3 GT 5G (Gunmetal Silver, 256 GB)",8,256,64,16,5065 mAh,MediaTek Dimensity 1200 Processor,"₹36,999"
120,"realme C55 (Rainforest, 128 GB)",8,128,64,8,5000 mAh,Helio G88 Processor,"₹13,999"
121,"realme C55 (Rainforest, 64 GB)",6,64,64,8,5000 mAh,Helio G88 Processor,"₹11,999"
122,"realme C55 (Sunshower, 128 GB)",8,128,64,8,5000 mAh,Helio G88 Processor,"₹13,999"
123,"realme C55 (Rainy Night, 128 GB)",8,128,64,8,5000 mAh,Helio G88 Processor,"₹13,999"
124,"realme C55 (Rainy Night, 64 GB)",6,64,64,8,5000 mAh,Helio G88 Processor,"₹11,999"
125,"realme C55 (Sunshower, 64 GB)",4,64,64,8,5000 mAh,Helio G88 Processor,"₹10,999"
126,"realme C55 (Rainforest, 64 GB)",4,64,64,8,5000 mAh,Helio G88 Processor,"₹10,999"
127,"realme C55 (Rainy Night, 64 GB)",4,64,64,8,5000 mAh,Helio G88 Processor,"₹10,999"
128,"realme C55 (Sunshower, 64 GB)",6,64,64,8,5000 mAh,Helio G88 Processor,"₹11,999"
129,"realme C33 2023 (Aqua Blue, 128 GB)",4,128,50,5,5000 mAh,Unisoc T612 Processor,"₹10,499"
130,"realme C33 2023 (Sandy Gold, 128 GB)",4,128,50,5,5000 mAh,Unisoc T612 Processor,"₹10,499"
131,"realme C30 (Bamboo Green, 32 GB)",3,32,8,5,5000 mAh,Unisoc T612 Processor,"₹6,499"
132,"realme C30 (Denim Black, 32 GB)",2,32,8,5,5000 mAh,Unisoc T612 Processor,"₹5,999"
133,"realme C33 2023 (Night Sea, 128 GB)",4,128,50,5,5000 mAh,Unisoc T612 Processor,"₹10,499"
134,"realme C30 (Denim Black, 32 GB)",3,32,8,5,5000 mAh,Unisoc T612 Processor,"₹6,499"
135,"realme C30 (Lake Blue, 32 GB)",3,32,8,5,5000 mAh,Unisoc T612 Processor,"₹6,499"
136,"realme 10 Pro 5G (Nebula Blue, 128 GB)",8,128,108,16,5000 mAh,Qualcomm Snapdragon 695 5G Processor,"₹19,999"
137,"realme 10 Pro 5G (Dark Matter, 128 GB)",8,128,108,16,5000 mAh,Qualcomm Snapdragon 695 5G Processor,"₹19,999"
138,"realme 10 Pro 5G (Hyperspace, 128 GB)",8,128,108,16,5000 mAh,Qualcomm Snapdragon 695 5G Processor,"₹19,999"
139,"realme 10 Pro 5G (Hyperspace, 128 GB)",6,128,108,16,5000 mAh,Qualcomm Snapdragon 695 5G Processor,"₹18,999"
140,"realme 10 Pro 5G (Nebula Blue, 128 GB)",6,128,108,16,5000 mAh,Qualcomm Snapdragon 695 5G Processor,"₹18,999"
141,"realme 10 Pro 5G (Dark Matter, 128 GB)",6,128,108,16,5000 mAh,Qualcomm Snapdragon 695 5G Processor,"₹18,999"
142,"realme 10 (Rush Black, 64 GB)",4,64,50,16,5000 mAh,Mediatek Helio G99 Octa Core Processor,"₹12,499"
143,"realme 10 (Clash White, 64 GB)",4,64,50,16,5000 mAh,Mediatek Helio G99 Octa Core Processor,"₹12,499"
144,"realme 10 (Rush Black, 128 GB)",8,128,50,16,5000 mAh,Mediatek Helio G99 Octa Core Processor,"₹15,499"
145,"realme 9 5G SE (Azure Glow, 128 GB)",8,128,48,16,5000 mAh,Qualcomm Snapdragon 778G Processor,"₹17,999"
146,"realme 9 5G SE (Starry Glow, 128 GB)",8,128,48,16,5000 mAh,Qualcomm Snapdragon 778G Processor,"₹17,999"
147,"realme 10 (Clash White, 128 GB)",8,128,50,16,5000 mAh,Mediatek Helio G99 Octa Core Processor,"₹15,499"
148,"realme Narzo 50i Prime (Dark Blue, 32 GB)",3,32,8,5,5000 mAh,Unisoc T612 processor Processor,"₹7,078"
149,"realme 9i 5G (Soulful Blue, 128 GB)",6,128,50,8,5000 mAh,Mediatek Dimensity 810 5G Processor,"₹16,999"
150,"realme 9i 5G (Rocking Black, 64 GB)",4,64,50,8,5000 mAh,Mediatek Dimensity 810 5G Processor,"₹14,999"
151,"realme Narzo 50 (Speed Blue, 64 GB)",4,64,50,16,5000 mAh,Mediatek Helio G96 Processor,"₹12,999"
152,"realme Narzo 50 (Speed Blue, 128 GB)",6,128,50,16,5000 mAh,Mediatek Helio G96 Processor,"₹12,999"
153,"realme 9i 5G (Metallica Gold, 128 GB)",6,128,50,8,5000 mAh,Mediatek Dimensity 810 5G Processor,"₹16,999"
154,"realme 9i 5G (Rocking Black, 128 GB)",6,128,50,8,5000 mAh,Mediatek Dimensity 810 5G Processor,"₹16,999"
155,"realme 9i 5G (Soulful Blue, 64 GB)",4,64,50,8,5000 mAh,Mediatek Dimensity 810 5G Processor,"₹14,999"
156,"realme Narzo 50 (Speed Black, 128 GB)",6,128,50,16,5000 mAh,Mediatek Helio G96 Processor,"₹12,999"
157,"realme 9i 5G (Metallica Gold, 64 GB)",4,64,50,8,5000 mAh,Mediatek Dimensity 810 5G Processor,"₹14,999"
158,"realme C25s (Watery Grey, 128 GB)",4,128,13,8,6000 mAh,MediaTek Helio G85 Processor,"₹9,999"
159,"realme C55 (Rainforest / Green, 128 GB)",8,128,64,8,5000 mAh,Helio G88 Processor,"₹15,495"
160,"realme Narzo 50 (Speed Black, 64 GB)",4,64,50,16,5000 mAh,Mediatek Helio G96 Processor,"₹12,350"
161,"realme Narzo 50i Prime (Mint Green, 64 GB)",4,64,8,5,5000 mAh,Unisoc T612 processor Processor,"₹8,449"
162,"realme C21Y (Cross Blue, 32 GB)",3,32,13,5,5000 mAh,Unisoc T610 Processor,"₹7,499"
163,"realme C35 (Glowing Black, 128 GB)",4,128,50,8,5000 mAh,Unisoc Tiger T616 Processor,"₹10,699"
164,"realme C35 (Glowing Black, 64 GB)",4,64,50,8,5000 mAh,Unisoc Tiger T616 Processor,"₹9,699"
165,"realme C21Y (Cross Black, 32 GB)",3,32,13,5,5000 mAh,Unisoc T610 Processor,"₹7,499"
166,"realme Narzo 50i (Carbon Black, 32 GB)",2,32,8,5,5000 mAh,SC9863A Processor,"₹7,180"
167,"realme C21Y (Cross Black, 32 GB)",3,32,13,5,5000 mAh,Unisoc T610 Processor,"₹7,499"
168,"realme C33 (Night Sea, 32 GB)",3,32,50,5,5000 mAh,Unisoc T612 Processor,"₹8,999"
169,"realme C33 (Sandy Gold, 32 GB)",3,32,50,5,5000 mAh,Unisoc T612 Processor,"₹8,999"
170,"realme C33 (Aqua Blue, 32 GB)",3,32,50,5,5000 mAh,Unisoc T612 Processor,"₹8,999"
171,"realme Narzo 30 (Racing Silver, 128 GB)",6,128,48,16,5000 mAh,MediaTek Helio G95 Processor,"₹12,499"
172,"realme C21Y (Cross Blue, 64 GB)",4,64,13,5,5000 mAh,Unisoc T610 Processor,"₹8,499"
173,"realme C25s (Watery Blue, 128 GB)",4,128,13,8,6000 mAh,MediaTek Helio G85 Processor,"₹10,489"
174,"realme C33 (Sandy Gold, 64 GB)",4,64,50,5,5000 mAh,Unisoc T612 Processor,"₹9,999"
175,"realme C33 (Night Sea, 64 GB)",4,64,50,5,5000 mAh,Unisoc T612 Processor,"₹9,999"
176,"realme C33 (Aqua Blue, 64 GB)",4,64,50,5,5000 mAh,Unisoc T612 Processor,"₹9,999"
177,"realme Narzo 50i (Carbon Black, 64 GB)",4,64,8,5,5000 mAh,SC9863A Processor,"₹8,949"
178,"realme GT 2 (Steel Black, 128 GB)",8,128,50,16,5000 mAh,Qualcomm Snapdragon 888 Processor,"₹23,999"
179,"realme GT 2 (Paper White, 128 GB)",8,128,50,16,5000 mAh,Qualcomm Snapdragon 888 Processor,"₹23,999"
180,"realme Narzo 30 (Racing Blue, 128 GB)",6,128,48,16,5000 mAh,MediaTek Helio G95 Processor,"₹12,499"
181,"realme C33 2023 (Aqua Blue, 64 GB)",4,64,50,5,5000 mAh,Unisoc T612 Processor,"₹9,999"
182,"realme C33 2023 (Sandy Gold, 64 GB)",4,64,50,5,5000 mAh,Unisoc T612 Processor,"₹9,999"
183,"realme C21Y (Cross Black, 64 GB)",4,64,13,5,5000 mAh,Unisoc T610 Processor,"₹8,499"
184,"realme 8i (Space Black, 64 GB)",4,64,50,16,5000 mAh,MediaTek Helio G96 Processor,"₹11,499"
185,"realme C33 2023 (Night Sea, 64 GB)",4,64,50,5,5000 mAh,Unisoc T612 Processor,"₹9,999"
186,"realme C31 (Light Silver, 32 GB)",3,32,13,5,5000 mAh,Unisoc T612 Processor,"₹8,049"
187,"realme C31 (Dark Green, 32 GB)",3,32,13,5,5000 mAh,Unisoc T612 Processor,"₹8,049"
188,"realme C31 (Dark Green, 64 GB)",4,64,13,5,5000 mAh,Unisoc T612 Processor,"₹8,749"
189,"realme C31 (Light Silver, 64 GB)",4,64,13,5,5000 mAh,Unisoc T612 Processor,"₹8,749"
190,"realme Narzo 30 Pro 5G (Blade Silver, 128 GB)",8,128,48,16,5000 mAh,MediaTek Dimensity 800U Processor,"₹15,999"
191,"realme C11 2021 (Cool Blue, 64 GB)",4,64,8,5,5000 mAh,Octa-core Processor,"₹8,999"
192,"realme C11 2021 (Cool Grey, 64 GB)",4,64,8,5,5000 mAh,Octa-core Processor,"₹8,999"
193,"realme 10 Pro+ 5G (Nebula Blue, 128 GB)",8,128,108,16,5000 mAh,Mediatek Dimensity 1080 5G Processor,"₹25,999"
194,"realme Narzo 50A Prime (Flash Black, 64 GB)",4,64,50,8,5000 mAh,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,"₹11,998"
195,"realme 10 Pro+ 5G (Hyperspace, 128 GB)",8,128,108,16,5000 mAh,Mediatek Dimensity 1080 5G Processor,"₹25,999"
196,"realme 10 Pro+ 5G (Dark Matter, 128 GB)",8,128,108,16,5000 mAh,Mediatek Dimensity 1080 5G Processor,"₹25,999"
197,"realme 10 Pro+ 5G (Nebula Blue, 128 GB)",6,128,108,16,5000 mAh,Mediatek Dimensity 1080 5G Processor,"₹24,999"
198,"realme 10 Pro+ 5G (Dark Matter, 128 GB)",6,128,108,16,5000 mAh,Mediatek Dimensity 1080 5G Processor,"₹24,999"
199,"realme 10 Pro+ 5G (Hyperspace, 128 GB)",6,128,108,16,5000 mAh,Mediatek Dimensity 1080 5G Processor,"₹24,999"
200,"realme C30s (Stripe Black, 32 GB)",2,32,8,5,5000 mAh,Unisoc SC9863A/ Unisoc SC9863A1 Processor,"₹6,999"
201,"realme C30s (Stripe Blue, 32 GB)",2,32,8,5,5000 mAh,Unisoc SC9863A/ Unisoc SC9863A1 Processor,"₹6,999"
202,"realme Narzo 50A (Oxygen Blue, 64 GB)",4,64,50,8,6000 mAh,MediaTek Helio G85 Processor,"₹11,499"
203,"realme 9i (Prism Black, 128 GB)",6,128,50,16,5000 mAh,Qualcomm Snapdragon 680 (SM6225) Processor,"₹14,499"
204,"realme 9i (Prism Black, 128 GB)",4,128,50,16,5000 mAh,Qualcomm Snapdragon 680 (SM6225) Processor,"₹13,499"
205,"realme 9i (Prism Blue, 64 GB)",4,64,50,16,5000 mAh,Qualcomm Snapdragon 680 (SM6225) Processor,"₹11,999"
206,"realme C30 (Bamboo Green, 32 GB)",2,32,8,5,5000 mAh,Unisoc T612 Processor,"₹5,999"
207,"realme C30 (Lake Blue, 32 GB)",2,32,8,5,5000 mAh,Unisoc T612 Processor,"₹5,999"
208,"realme 9 5G SE (Azure Glow, 128 GB)",6,128,48,16,5000 mAh,Qualcomm Snapdragon 778G Processor,"₹14,999"
209,"realme Narzo 50i Prime (Dark Blue, 64 GB)",4,64,8,5,5000 mAh,Unisoc T612 processor Processor,"₹8,427"
210,"realme 9 5G SE (Starry Glow, 128 GB)",6,128,48,16,5000 mAh,Qualcomm Snapdragon 778G Processor,"₹14,999"
