,Phone Name,RAM,ROM,Back Camera,Front_Camera,Battery,Processor,Price
794,"vivo Y69 (Gold, 32 GB)",3,32,13,16,3000 mAh,Mediatek MT6750 Octa Core 1.5GHz Processor,"₹14,990"
795,"vivo Y02t (Sunset Gold, 64 GB)",4,64,8,5,5000 mAh,Helio P35 Processor,"₹9,999"
796,"vivo Y91 (Nebula Purple, 32 GB)",3,32,13,8,4030 mAh,Qualcomm Snapdragon 439 Processor,"₹10,990"
797,"vivo X70 Pro (Aurora Dawn, 256 GB)",8,256,50,32,4450 mAh,MediaTek Dimensity 1200 Processor,"₹48,990"
798,"vivo Y81 (Black, 32 GB)",3,32,13,5,3260 mAh,MT6762 Octa Core (Helio P22) Processor,"₹13,990"
799,"vivo X80 (Urban Blue, 128 GB)",8,128,50,32,4500 mAh,Mediatek Dimensity 9000 Processor,"₹54,999"
800,"vivo V9 (Sapphire Blue, 64 GB)",4,64,16,24,3260 mAh,Qualcomm Snapdragon 626 Processor,"₹23,990"
801,"vivo V17 (Glacier ice white, 128 GB)",8,128,48,32,4500 mAh,Qualcomm Snapdragon 675AIE Processor,"₹27,990"
802,"vivo V9 (Pearl Black, 64 GB)",4,64,16,24,3260 mAh,Qualcomm Snapdragon 626 Processor,"₹23,990"
803,"vivo V17 (Midnight Ocean Black, 128 GB)",8,128,48,32,4500 mAh,Qualcomm Snapdragon 675AIE Processor,"₹27,990"
804,"vivo V15 Pro (Topaz Blue, 128 GB)",6,128,48,32,3700 mAh,Qualcomm Snapdragon 675AIE Octa Core 2.0GHz Processor,"₹32,990"
805,"vivo V19 (Mystic Silver, 128 GB)",8,128,48,32,4500 mAh,Qualcomm Snapdragon 712 AIE Processor,"₹30,990"
806,"vivo X80 (Cosmic Black, 128 GB)",8,128,50,32,4500 mAh,Mediatek Dimensity 9000 Processor,"₹54,999"
807,"vivo Y33T (Mid day dream, 128 GB)",8,128,50,16,5000 mAh,Qualcomm Snapdragon 680 Processor,"₹17,989"
808,"vivo T1 5G (Silky White, 128 GB)",6,128,50,16,5000 mAh,Qualcomm Snapdragon 695 Processor,"₹16,990"
809,"vivo Y75 5G (Starlight Black, 128 GB)",8,128,50,16,5000 mAh,Mediatek Dimensity 700 Processor,"₹21,990"
810,"vivo V21 5G (Dusk Blue, 256 GB)",8,256,64,44,4000 mAh,MediaTek Dimensity 800U Processor,"₹30,990"
811,"vivo V21 5G (Neon Spark, 128 GB)",8,128,64,44,4000 mAh,Mediatek Dimensity 800U Processor,"₹27,990"
812,"vivo T1 5G (Rainbow Fantasy, 128 GB)",6,128,50,16,5000 mAh,Qualcomm Snapdragon 695 Processor,"₹16,990"
813,"vivo Y20T (Obsidian Black, 64 GB)",6,64,13,8,5000 mAh,Qualcomm Snapdragon 662 Processor,"₹15,490"
814,"vivo Y21 (Midnight Blue, 128 GB)",4,128,13,8,5000 mAh,Mediatek Helio P35 Processor,"₹13,499"
815,"vivo Y21 (Diamond Glow, 128 GB)",4,128,13,8,5000 mAh,Mediatek Helio P35 Processor,"₹13,499"
816,"vivo V23 Pro 5G (Sunshine Gold, 128 GB)",8,128,108,50,4300 mAh,Mediatek Dimensity 1200 Processor,"₹38,990"
817,"vivo Y31 (Racing Black, 128 GB)",6,128,48,16,5000 mAh,Qualcomm Snapdragon 662 Processor,"₹15,990"
818,"vivo Y31 (Ocean Blue, 128 GB)",6,128,48,16,5000 mAh,Qualcomm Snapdragon 662 Processor,"₹16,290"
819,"vivo Y12s (Glacier Blue, 32 GB)",3,32,13,8,5000 mAh,Snapdragon 439 Processor,"₹9,990"
820,"vivo Y12s (Phantom Black, 32 GB)",3,32,13,8,5000 mAh,Snapdragon 439 Processor,"₹9,990"
821,"vivo Y21 (Midnight Blue, 64 GB)",4,64,13,8,5000 mAh,Mediatek Helio P35 Processor,"₹14,499"
822,"vivo V23 Pro 5G (Sunshine Gold, 256 GB)",12,256,108,50,4300 mAh,Mediatek Dimensity 1200 Processor,"₹43,990"
823,"vivo Y91i (Fusion Black, 32 GB)",2,32,13,5,4030 mAh,MTK Helio P22 Processor,"₹7,990"
824,"vivo X60 (Shimmer Blue, 256 GB)",12,256,48,32,4300 mAh,Qualcomm Snapdragon 870 Processor,"₹36,600"
825,"vivo Y20i (Nebula Blue, 64 GB)",3,64,13,8,5000 mAh,Qualcomm Snapdragon 460 Processor,"₹9,999"
826,"vivo Y20A (Dawn White, 64 GB)",3,64,13,8,5000 mAh,Qualcomm Snapdragon 439 Processor,"₹10,990"
827,"vivo Y53s (Deep Sea Blue, 128 GB)",8,128,64,16,5000 mAh,MediaTek Helio G80 Processor,"₹20,990"
828,"vivo T1X (DIAMOND GLOW, 128 GB)",4,128,50,8,5000 mAh,Qualcomm Snapdragon 680 Processor,"₹15,495"
829,"vivo V21e (Sunset Jazz, 128 GB)",8,128,64,32,4000 mAh,MediaTek Dimensity 700 Processor,"₹24,990"
830,"vivo V21e (Dark Pearl, 128 GB)",8,128,64,32,4000 mAh,MediaTek Dimensity 700 Processor,"₹23,999"
831,"vivo X60 Pro+ (Emperor Blue, 256 GB)",12,256,50,32,4200 mAh,Qualcomm Snapdragon 888 Processor,"₹64,990"
832,"vivo U10 (Electric Blue, 64 GB)",4,64,13,8,5000 mAh,Qualcomm Snapdragon 665 AIE Processor,"₹13,990"
833,"vivo Y51A (Crystal Symphony, 128 GB)",8,128,48,16,5000 mAh,Qualcomm Snapdragon 662 Processor,"₹17,990"
834,"vivo Y51A (Titanium Sapphire, 128 GB)",8,128,48,16,5000 mAh,Qualcomm Snapdragon 662 Processor,"₹18,490"
835,"vivo Y51A (Titanium Sapphire, 128 GB)",6,128,48,16,5000 mAh,Qualcomm Snapdragon 662 Processor,"₹16,990"
836,"Nothing Phone (1) (White, 256 GB)",8,256,50,16,4500 mAh,Qualcomm Snapdragon 778G+ Processor,"₹32,499"
837,"Nothing Phone (1) (Black, 256 GB)",8,256,50,16,4500 mAh,Qualcomm Snapdragon 778G+ Processor,"₹31,999"
838,"Nothing Phone (1) (Black, 128 GB)",8,128,50,16,4500 mAh,Qualcomm Snapdragon 778G+ Processor,"₹29,999"
839,"Nothing Phone (1) (White, 256 GB)",12,256,50,16,4500 mAh,Qualcomm Snapdragon 778G+ Processor,"₹35,999"
840,"Nothing Phone (1) (Black, 256 GB)",12,256,50,16,4500 mAh,Qualcomm Snapdragon 778G+ Processor,"₹35,999"
841,"Mi 10T (Cosmic Black, 128 GB)",6,128,64,20,5000 mAh,Qualcomm Snapdragon 865 Processor,"₹23,990"
842,"Mi 11 Lite (Vinyl Black, 128 GB)",8,128,64,16,4250 mAh,Qualcomm Snapdragon 732G Processor,"₹18,999"
843,"Mi 11 Lite (Jazz Blue, 128 GB)",8,128,64,16,4250 mAh,Qualcomm Snapdragon 732G Processor,"₹18,999"
844,"Xiaomi 11i Hypercharge 5G (Stealth Black, 128 GB)",6,128,108,16,4500 mAh,Mediatek Dimensity 920 Processor,"₹23,999"
845,"Redmi Note 6 Pro (Black, 64 GB)",4,64,12,20,4000 mAh,Qualcomm Snapdragon 636 Processor,"₹15,999"
846,"Redmi Note 6 Pro (Red, 64 GB)",4,64,12,20,4000 mAh,Qualcomm Snapdragon 636 Processor,"₹15,999"
847,"Redmi Go (Black, 8 GB)",1,8,8,5,3000 mAh,Qualcomm Snapdragon 425 Processor,"₹5,999"
848,"Redmi Note 6 Pro (Rose Gold, 64 GB)",6,64,12,20,4000 mAh,Qualcomm Snapdragon 636 Processor,"₹17,999"
849,"Redmi Note 6 Pro (Red, 64 GB)",6,64,12,20,4000 mAh,Qualcomm Snapdragon 636 Processor,"₹17,999"
850,"Redmi Go (Blue, 16 GB)",1,16,8,5,3000 mAh,Qualcomm Snapdragon 425 Processor,"₹5,999"
851,"Mi 11 Lite (Vinyl Black, 128 GB)",6,128,64,16,4250 mAh,Qualcomm Snapdragon 732G Processor,"₹18,985"
852,"Mi 10T (Lunar Silver, 128 GB)",8,128,64,20,5000 mAh,Qualcomm Snapdragon 865 Processor,"₹24,996"
853,"Mi 11X (Cosmic Black, 128 GB)",6,128,48,20,4520 mAh,Qualcomm Snapdragon 870 Processor,"₹22,990"
854,"Mi A3 (Not just Blue, 128 GB)",6,128,48,32,4030 mAh,Qualcomm Snapdragon 665 Processor,"₹16,599"
855,"Mi 11X Pro 5G (Celestial Silver, 128 GB)",8,128,108,20,4520 mAh,Qualcomm Snapdragon 888 Processor,"₹34,999"
856,"Mi 10T (Cosmic Black, 128 GB)",8,128,64,20,5000 mAh,Qualcomm Snapdragon 865 Processor,"₹37,999"
857,"Xiaomi 11i 5G (Purple Mist, 128 GB)",8,128,108,16,5160 mAh,Mediatek Dimensity 920 Processor,"₹26,999"
858,"Xiaomi 11Lite NE (Diamond Dazzle, 128 GB)",6,128,64,20,4250 mAh,Qualcomm Snapdragon 778G Processor,"₹24,990"
859,"Mi 11X Pro 5G (Lunar White, 128 GB)",8,128,108,20,4520 mAh,Qualcomm Snapdragon 888 Processor,"₹28,799"
860,"Redmi Go (Black, 16 GB)",1,16,8,5,3000 mAh,Qualcomm Snapdragon 425 Processor,"₹5,999"
861,"Mi 11X (Celestial Silver, 128 GB)",8,128,48,20,4520 mAh,Qualcomm Snapdragon 870 Processor,"₹32,990"
862,"Mi 11X (Cosmic Black, 128 GB)",8,128,48,20,4520 mAh,Qualcomm Snapdragon 870 Processor,"₹34,499"
863,"Mi 11X (Lunar White, 128 GB)",8,128,48,20,4520 mAh,Qualcomm Snapdragon 870 Processor,"₹25,990"
864,"Mi 11X (Lunar White, 128 GB)",6,128,48,20,4520 mAh,Qualcomm Snapdragon 870 Processor,"₹24,999"
